,선수,나이,연도,연봉(만원),WAR
0,추신수,1982.0,2022,270000,0.847
1,구자욱,1989.0,2022,250000,0.258
2,한유섬,1989.0,2022,240000,2.388
3,나성범,1989.0,2022,200000,3.203
4,박건우,,2022,190000,1.794
5,박종훈,,2022,180000,
6,루친스키,1988.0,2022,160000,2.452
7,미란다,1989.0,2022,160000,0.126
8,문승원,1989.0,2022,160000,
9,오승환,1982.0,2022,160000,1.044
10,손아섭,1988.0,2022,150000,1.345
11,김현수,,2022,150000,2.181
12,김광현,,2022,150000,3.186
13,김재환,1988.0,2022,150000,1.153
14,최정,1987.0,2022,120000,2.005
15,허경민,1990.0,2022,120000,1.481
16,폰트,1990.0,2022,110000,2.701
17,뷰캐넌,1989.0,2022,110000,2.476
18,이재원,,2022,100000,-0.531
19,안치홍,1990.0,2022,100000,2.027
20,양현종,1988.0,2022,100000,1.292
21,양의지,1987.0,2022,100000,1.212
22,최재훈,1989.0,2022,100000,0.366
23,최형우,1983.0,2022,90000,0.823
24,켈리,,2022,90000,1.084
25,요키시,1989.0,2022,90000,
26,이대호,1982.0,2022,80000,1.412
27,쿠에바스,1990.0,2022,80000,0.375
28,정우람,1985.0,2022,80000,-0.147
29,백정현,1987.0,2022,80000,-0.77
30,이정후,1998.0,2022,75000,
31,노바,1987.0,2022,75000,-0.15
32,수아레즈,,2022,70000,1.712
33,데스파이네,1987.0,2022,70000,0.662
34,터크먼,1990.0,2022,70000,2.14
35,킹험,,2022,70000,
36,푸이그,1990.0,2022,70000,
37,박석민,1985.0,2022,70000,
38,최주환,1988.0,2022,65000,-0.641
39,라모스,,2022,65000,0.186
40,피렐라,1989.0,2022,60000,3.461
41,크론,1993.0,2022,60000,0.561
42,루이즈,1994.0,2022,60000,-0.145
43,박병호,,2022,60000,2.047
44,오지환,1990.0,2022,60000,1.943
45,페르난데스,,2022,60000,1.263
46,박해민,1990.0,2022,60000,1.149
47,강민호,1985.0,2022,60000,-0.016
48,정수빈,1990.0,2022,60000,0.435
49,오재일,1986.0,2022,60000,1.238
50,피터스,1995.0,2022,60000,0.715
51,정훈,1987.0,2022,55000,0.036
52,강백호,1999.0,2022,55000,
53,장성우,1990.0,2022,50000,1.411
54,플럿코,1991.0,2022,50000,0.607
55,김재호,1985.0,2022,50000,-0.374
56,스파크맨,1992.0,2022,50000,-0.21
57,소크라테스,1992.0,2022,50000,2.388
58,전준우,1986.0,2022,50000,0.498
59,반즈,,2022,46538,2.194
60,김선빈,1989.0,2022,45000,1.657
61,파슨스,1992.0,2022,44000,0.806
62,마티니,1990.0,2022,44000,1.603
63,박민우,1993.0,2022,41000,0.035
64,황재균,1987.0,2022,40000,1.528
65,스탁,1989.0,2022,40000,1.501
66,이용규,1985.0,2022,40000,
67,이용찬,1989.0,2022,40000,1.219
68,양석환,1991.0,2022,39000,0.625
69,카펜터,,2022,35000,0.565
70,놀린,1989.0,2022,35000,0.402
71,최원준,,2022,34000,1.427
72,김혜성,1999.0,2022,32000,
73,홍창기,1993.0,2022,32000,1.557
74,박동원,1990.0,2022,31000,
75,최원태,1997.0,2022,31000,
76,로니,,2022,30000,-0.194
77,고영표,1991.0,2022,30000,1.993
78,진해수,1986.0,2022,30000,0.777
79,박세혁,1990.0,2022,30000,-0.086
80,원태인,2000.0,2022,30000,1.114
81,이지영,1986.0,2022,30000,
82,이원석,,2022,30000,0.122
83,김상수,,2022,30000,-0.077
84,차우찬,1987.0,2022,30000,
85,오재원,1985.0,2022,30000,-0.199
86,주권,1995.0,2022,29500,0.309
87,박경수,1984.0,2022,29000,-0.792
88,김재윤,1990.0,2022,28000,0.068
89,심창민,1993.0,2022,28000,-0.558
90,정우영,1999.0,2022,28000,1.277
91,정찬헌,1990.0,2022,28000,
92,채은성,1990.0,2022,28000,1.04
93,김원중,1993.0,2022,28000,-0.265
94,애플러,1993.0,2022,27500,
95,원종현,1987.0,2022,27000,0.484
96,유강남,1992.0,2022,27000,0.763
97,배제성,1996.0,2022,27000,1.191
98,고우석,,2022,27000,1.212
99,서건창,1989.0,2022,26000,-0.265
